possession_1st,possession_2nd,shots_1st,shots_2nd,shots_on_target_1st,shots_on_target_2nd,corners_1st,corners_2nd,passes_1st,passes_2nd,accurate_passes_1st,accurate_passes_2nd,crosses_1st,crosses_2nd,accurate_crosses_1st,accurate_crosses_2nd,successful_tackles_1st,successful_tackles_2nd,fouls_1st,fouls_2nd,offsides_1st,offsides_2nd,yellow_cards_1st,yellow_cards_2nd,red_cards_1st,red_cards_2nd,team_1st,team_2nd,score_1st,score_2nd
56,44,17,8,6,4,5,2,543,444,469,369,,,,,17,12,20,16,1,1,5,4,0,0,PIAST GLIWICE,PGE FKS STAL MIELEC,1,1
66,34,6,5,2,3,11,2,608,320,506,240,,,,,19,20,12,19,0,2,1,1,0,0,POGOŃ SZCZECIN,WARTA POZNAŃ,1,1
58,42,11,13,1,7,5,7,496,403,404,314,,,,,16,18,11,17,1,4,3,2,0,0,ŚLĄSK WROCŁAW,CRACOVIA,0,2
61,39,17,10,10,2,7,4,435,317,358,246,,,,,18,11,22,19,4,0,2,2,0,0,RAKÓW CZĘSTOCHOWA,JAGIELLONIA BIAŁYSTOK,5,0
56,44,14,6,7,3,3,3,494,390,411,305,,,,,20,17,14,22,0,2,3,3,0,0,GÓRNIK ŁĘCZNA,KGHM ZAGŁĘBIE LUBIN,2,1
56,44,20,7,7,3,11,6,521,420,419,324,,,,,17,20,13,5,1,1,2,2,0,0,LECH POZNAŃ,GÓRNIK ZABRZE,2,1
62,38,13,13,3,9,4,5,615,335,510,271,,,,,24,16,13,13,1,1,1,3,0,0,LEGIA WARSZAWA,RADOMIAK RADOM,0,3
,,,,,,,,,,,,,,,,,,,,,,,,,,PGE FKS STAL MIELEC,BRUK-BET TERMALICA NIECIECZA,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,RAKÓW CZĘSTOCHOWA,PIAST GLIWICE,1,0
47,53,8,9,4,5,0,6,351,452,265,344,,,,,16,19,14,23,1,0,4,1,0,0,RADOMIAK RADOM,LECH POZNAŃ,2,1
,,,,,,,,,,,,,,,,,,,,,,,,,,KGHM ZAGŁĘBIE LUBIN,WISŁA KRAKÓW,2,1
64,36,15,13,7,4,8,5,634,341,539,235,,,,,18,18,15,11,1,3,3,2,0,0,LECHIA GDAŃSK,JAGIELLONIA BIAŁYSTOK,1,2
52,48,10,11,4,6,2,5,537,438,429,357,,,,,24,16,21,10,1,1,2,3,0,0,CRACOVIA,GÓRNIK ŁĘCZNA,0,2
42,58,11,12,3,6,2,5,405,544,308,439,,,,,14,18,18,15,2,3,3,4,0,0,WISŁA PŁOCK,LEGIA WARSZAWA,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,GÓRNIK ZABRZE,POGOŃ SZCZECIN,2,2
27,73,10,12,5,3,0,4,275,844,193,733,,,,,12,12,22,14,2,1,5,1,0,0,WARTA POZNAŃ,ŚLĄSK WROCŁAW,2,1
40,60,6,16,3,6,0,6,362,615,277,516,,,,,10,9,12,25,1,3,3,6,0,1,PGE FKS STAL MIELEC,WISŁA PŁOCK,2,1
55,45,21,13,10,3,1,6,566,497,468,396,,,,,20,14,15,12,1,1,2,2,0,0,GÓRNIK ZABRZE,ŚLĄSK WROCŁAW,3,1
51,49,12,13,5,7,5,5,429,394,324,290,,,,,7,15,16,19,2,4,2,3,0,0,BRUK-BET TERMALICA NIECIECZA,POGOŃ SZCZECIN,1,3
,,,,,,,,,,,,,,,,,,,,,,,,,,JAGIELLONIA BIAŁYSTOK,GÓRNIK ŁĘCZNA,1,2
55,45,14,15,7,7,3,4,509,441,420,346,,,,,21,18,23,7,0,1,2,1,1,0,LECHIA GDAŃSK,RAKÓW CZĘSTOCHOWA,3,1
43,57,7,29,2,9,5,6,404,523,309,426,,,,,12,14,14,13,1,4,1,2,0,0,KGHM ZAGŁĘBIE LUBIN,LECH POZNAŃ,2,3
41,59,9,13,3,5,7,7,331,573,249,486,,,,,19,14,27,15,2,2,3,4,0,0,CRACOVIA,LEGIA WARSZAWA,1,0
37,63,12,9,3,6,5,4,366,669,246,563,,,,,21,14,10,7,2,2,0,0,0,0,WARTA POZNAŃ,WISŁA KRAKÓW,1,1
54,46,14,10,7,2,7,4,475,393,379,321,,,,,12,9,18,16,1,1,2,2,0,0,RADOMIAK RADOM,PIAST GLIWICE,2,2
46,54,18,9,6,1,7,2,358,419,276,322,,,,,12,15,10,18,2,0,3,4,0,0,PIAST GLIWICE,BRUK-BET TERMALICA NIECIECZA,2,1
57,43,16,18,4,6,6,6,558,339,447,252,,,,,23,17,11,9,3,2,1,2,0,0,WISŁA KRAKÓW,RADOMIAK RADOM,0,1
49,51,6,18,2,7,2,8,485,523,389,441,,,,,26,14,9,20,0,2,1,3,0,0,GÓRNIK ŁĘCZNA,GÓRNIK ZABRZE,1,2
52,48,15,11,4,3,5,2,512,495,431,403,,,,,10,13,19,12,1,4,0,2,1,0,ŚLĄSK WROCŁAW,PGE FKS STAL MIELEC,2,1
50,50,16,9,7,3,6,1,416,457,333,381,,,,,20,18,11,17,0,1,4,0,0,0,POGOŃ SZCZECIN,LECHIA GDAŃSK,5,1
57,43,15,7,7,0,6,2,493,417,419,332,,,,,15,17,8,10,2,1,2,4,0,1,RAKÓW CZĘSTOCHOWA,KGHM ZAGŁĘBIE LUBIN,4,0
,,,,,,,,,,,,,,,,,,,,,,,,,,WISŁA PŁOCK,CRACOVIA,2,1
68,32,18,10,7,5,8,4,684,338,586,253,,,,,9,19,8,14,0,0,1,4,0,0,LECH POZNAŃ,WARTA POZNAŃ,2,0
59,41,14,8,4,4,12,3,530,373,440,291,,,,,11,16,12,15,1,8,1,3,0,0,LEGIA WARSZAWA,JAGIELLONIA BIAŁYSTOK,1,0
51,49,18,5,4,3,7,1,470,463,374,381,,,,,9,16,12,18,3,0,1,5,0,0,WARTA POZNAŃ,WISŁA PŁOCK,1,2
59,41,17,5,10,3,8,2,528,439,440,348,,,,,11,16,14,13,3,1,5,3,0,1,JAGIELLONIA BIAŁYSTOK,WISŁA KRAKÓW,3,1
44,56,14,22,7,6,4,9,410,522,331,433,,,,,19,22,6,9,4,1,3,2,0,0,PGE FKS STAL MIELEC,LECHIA GDAŃSK,3,3
58,42,24,3,5,0,8,1,596,405,499,321,,,,,7,12,20,10,0,2,0,0,0,0,LECH POZNAŃ,PIAST GLIWICE,1,0
58,42,13,18,2,8,5,5,457,327,394,274,,,,,14,14,10,15,1,1,2,1,1,1,BRUK-BET TERMALICA NIECIECZA,GÓRNIK ŁĘCZNA,1,1
61,39,20,4,8,2,9,2,616,409,516,318,,,,,12,16,10,11,2,1,0,2,0,0,POGOŃ SZCZECIN,ŚLĄSK WROCŁAW,2,1
38,62,15,9,9,3,3,6,326,549,240,446,,,,,18,10,18,13,4,2,2,4,0,0,GÓRNIK ZABRZE,LEGIA WARSZAWA,3,2
62,38,21,9,3,5,8,1,612,333,526,259,,,,,18,21,12,10,2,4,4,3,1,1,KGHM ZAGŁĘBIE LUBIN,RADOMIAK RADOM,0,2
42,58,10,15,4,6,0,3,425,522,334,441,,,,,29,12,21,11,1,0,3,2,0,0,CRACOVIA,RAKÓW CZĘSTOCHOWA,1,0
43,57,7,12,3,3,2,6,399,513,306,422,,,,,13,14,20,12,2,2,1,0,0,0,WISŁA PŁOCK,BRUK-BET TERMALICA NIECIECZA,1,1
52,48,7,15,3,7,5,6,473,451,384,362,,,,,17,21,10,20,1,2,2,3,0,0,ŚLĄSK WROCŁAW,JAGIELLONIA BIAŁYSTOK,2,2
65,35,9,5,1,2,5,7,671,316,575,229,,,,,22,24,12,12,2,2,1,2,0,0,PIAST GLIWICE,WARTA POZNAŃ,0,1
45,55,12,11,3,1,7,8,420,558,318,453,,,,,14,15,11,13,1,0,1,1,0,0,RADOMIAK RADOM,GÓRNIK ZABRZE,1,0
61,39,17,16,7,5,10,5,568,349,459,253,,,,,18,29,12,20,1,1,1,3,0,0,LECHIA GDAŃSK,KGHM ZAGŁĘBIE LUBIN,2,1
43,57,4,25,1,10,4,8,413,604,315,506,,,,,18,13,5,9,0,0,0,1,0,0,GÓRNIK ŁĘCZNA,LECH POZNAŃ,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,RAKÓW CZĘSTOCHOWA,POGOŃ SZCZECIN,0,0
66,34,29,7,8,4,10,1,676,311,578,234,,,,,16,20,13,11,0,1,4,2,0,0,LEGIA WARSZAWA,PGE FKS STAL MIELEC,1,3
53,47,9,11,2,7,3,3,420,347,317,251,,,,,19,19,12,17,3,1,3,3,0,0,WISŁA KRAKÓW,CRACOVIA,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,CRACOVIA,RADOMIAK RADOM,1,2
,,,,,,,,,,,,,,,,,,,,,,,,,,PGE FKS STAL MIELEC,LECH POZNAŃ,0,0
50,50,12,16,6,8,5,3,443,463,352,377,,,,,18,17,17,10,4,4,3,2,0,0,BRUK-BET TERMALICA NIECIECZA,ŚLĄSK WROCŁAW,4,3
,,,,,,,,,,,,,,,,,,,,,,,,,,WARTA POZNAŃ,LECHIA GDAŃSK,0,2
49,51,10,13,4,4,1,5,501,515,393,416,,,,,26,12,13,17,2,1,1,2,0,0,GÓRNIK ZABRZE,KGHM ZAGŁĘBIE LUBIN,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,JAGIELLONIA BIAŁYSTOK,PIAST GLIWICE,3,3
,,,,,,,,,,,,,,,,,,,,,,,,,,WISŁA PŁOCK,WISŁA KRAKÓW,2,0
,,,,,,,,,,,,,,,,,,,,,,,,,,GÓRNIK ŁĘCZNA,RAKÓW CZĘSTOCHOWA,0,0
57,43,20,10,8,7,8,2,607,371,520,300,,,,,15,12,20,18,1,0,1,1,0,0,LEGIA WARSZAWA,POGOŃ SZCZECIN,0,2
52,48,15,11,8,1,6,1,435,399,354,321,,,,,14,22,11,13,0,2,0,2,0,0,RADOMIAK RADOM,GÓRNIK ŁĘCZNA,3,1
58,42,26,6,13,2,4,1,548,411,461,335,,,,,9,7,12,15,1,1,2,2,0,0,LECH POZNAŃ,WISŁA PŁOCK,4,1
43,57,15,12,9,4,4,5,391,542,291,437,,,,,14,8,14,11,11,0,1,3,0,0,RAKÓW CZĘSTOCHOWA,BRUK-BET TERMALICA NIECIECZA,3,2
58,42,11,11,2,6,7,6,575,470,471,364,,,,,14,19,10,10,0,3,2,2,0,0,LECHIA GDAŃSK,GÓRNIK ZABRZE,1,1
62,38,21,6,10,4,11,6,512,376,423,277,,,,,12,19,5,14,0,0,0,1,0,1,POGOŃ SZCZECIN,JAGIELLONIA BIAŁYSTOK,4,1
56,44,7,22,1,13,5,5,499,409,424,335,,,,,23,17,18,9,1,0,3,1,0,0,WISŁA KRAKÓW,ŚLĄSK WROCŁAW,0,5
,,,,,,,,,,,,,,,,,,,,,,,,,,KGHM ZAGŁĘBIE LUBIN,CRACOVIA,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,WARTA POZNAŃ,PGE FKS STAL MIELEC,0,0
40,60,15,20,7,5,1,14,369,571,293,475,,,,,27,13,17,17,2,1,2,2,0,0,PIAST GLIWICE,LEGIA WARSZAWA,4,1
50,50,9,8,4,2,7,4,491,537,412,460,,,,,16,20,16,10,3,0,3,2,0,0,GÓRNIK ŁĘCZNA,PIAST GLIWICE,1,1
42,58,13,13,2,4,4,13,344,553,270,456,,,,,18,15,4,7,4,6,0,1,0,0,BRUK-BET TERMALICA NIECIECZA,LECHIA GDAŃSK,0,2
,,,,,,,,,,,,,,,,,,,,,,,,,,GÓRNIK ZABRZE,WISŁA KRAKÓW,0,1
54,46,14,9,4,6,4,2,580,483,492,402,,,,,25,25,12,16,1,0,2,4,0,0,ŚLĄSK WROCŁAW,RAKÓW CZĘSTOCHOWA,1,2
,,,,,,,,,,,,,,,,,,,,,,,,,,WISŁA PŁOCK,POGOŃ SZCZECIN,1,0
58,42,15,10,9,4,6,4,519,342,414,244,,,,,22,10,15,13,4,0,2,4,0,0,CRACOVIA,WARTA POZNAŃ,2,0
57,43,10,16,1,5,7,4,506,376,399,284,,,,,16,12,14,18,0,1,4,2,0,0,LEGIA WARSZAWA,LECH POZNAŃ,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,,PGE FKS STAL MIELEC,KGHM ZAGŁĘBIE LUBIN,4,2
,,,,,,,,,,,,,,,,,,,,,,,,,,JAGIELLONIA BIAŁYSTOK,RADOMIAK RADOM,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,KGHM ZAGŁĘBIE LUBIN,JAGIELLONIA BIAŁYSTOK,0,1
36,64,8,13,3,4,3,9,309,607,222,500,,,,,14,17,9,12,3,3,1,4,0,0,PIAST GLIWICE,WISŁA KRAKÓW,1,0
57,43,27,8,8,2,11,3,467,399,361,306,,,,,14,18,8,5,6,0,2,3,0,0,RADOMIAK RADOM,BRUK-BET TERMALICA NIECIECZA,1,1
56,44,11,8,2,6,6,3,500,381,391,288,,,,,17,12,16,14,5,0,2,3,0,0,CRACOVIA,PGE FKS STAL MIELEC,3,3
57,43,15,8,9,1,1,5,547,446,469,346,,,,,23,18,9,8,3,0,0,1,0,0,LECH POZNAŃ,ŚLĄSK WROCŁAW,4,0
,,,,,,,,,,,,,,,,,,,,,,,,,,GÓRNIK ZABRZE,WISŁA PŁOCK,4,2
58,42,14,6,6,1,4,2,485,375,411,298,,,,,19,20,10,12,2,3,0,1,0,0,RAKÓW CZĘSTOCHOWA,WARTA POZNAŃ,3,0
,,,,,,,,,,,,,,,,,,,,,,,,,,POGOŃ SZCZECIN,GÓRNIK ŁĘCZNA,4,1
,,,,,,,,,,,,,,,,,,,,,,,,,,LECHIA GDAŃSK,LEGIA WARSZAWA,3,1
31,69,6,25,4,9,5,6,320,648,234,567,,,,,23,16,15,15,0,7,2,2,1,0,GÓRNIK ŁĘCZNA,LECHIA GDAŃSK,0,4
,,,,,,,,,,,,,,,,,,,,,,,,,,JAGIELLONIA BIAŁYSTOK,LECH POZNAŃ,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,PGE FKS STAL MIELEC,RADOMIAK RADOM,1,0
57,43,21,11,8,5,13,2,458,386,364,287,,,,,23,23,13,15,0,2,2,2,0,0,WARTA POZNAŃ,KGHM ZAGŁĘBIE LUBIN,0,2
,,,,,,,,,,,,,,,,,,,,,,,,,,LEGIA WARSZAWA,RAKÓW CZĘSTOCHOWA,2,3
52,48,10,20,4,5,5,6,402,387,321,302,,,,,13,13,5,12,1,2,1,3,0,0,BRUK-BET TERMALICA NIECIECZA,GÓRNIK ZABRZE,3,1
,,,,,,,,,,,,,,,,,,,,,,,,,,ŚLĄSK WROCŁAW,WISŁA PŁOCK,3,1
,,,,,,,,,,,,,,,,,,,,,,,,,,WISŁA KRAKÓW,POGOŃ SZCZECIN,0,1
58,42,4,12,2,8,5,1,494,391,416,304,,,,,19,21,13,16,0,2,0,1,0,0,PIAST GLIWICE,CRACOVIA,2,4
42,58,19,19,5,8,5,6,369,529,303,445,,,,,20,25,18,13,1,1,4,0,0,0,KGHM ZAGŁĘBIE LUBIN,BRUK-BET TERMALICA NIECIECZA,2,1
49,51,20,10,11,0,3,5,419,441,331,341,,,,,19,24,9,13,2,4,2,6,0,0,LECH POZNAŃ,WISŁA KRAKÓW,5,0
,,,,,,,,,,,,,,,,,,,,,,,,,,WISŁA PŁOCK,JAGIELLONIA BIAŁYSTOK,3,0
,,,,,,,,,,,,,,,,,,,,,,,,,,POGOŃ SZCZECIN,CRACOVIA,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,RADOMIAK RADOM,ŚLĄSK WROCŁAW,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,LECHIA GDAŃSK,PIAST GLIWICE,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,PGE FKS STAL MIELEC,RAKÓW CZĘSTOCHOWA,0,3
58,42,18,8,4,2,7,2,599,478,491,373,,,,,15,26,9,7,1,1,1,1,0,0,GÓRNIK ZABRZE,WARTA POZNAŃ,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,LEGIA WARSZAWA,GÓRNIK ŁĘCZNA,3,1
42,58,10,15,6,4,7,3,332,477,260,395,,,,,16,21,19,11,0,5,1,2,0,0,WARTA POZNAŃ,BRUK-BET TERMALICA NIECIECZA,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,CRACOVIA,GÓRNIK ZABRZE,2,2
58,42,13,9,5,2,3,2,542,405,456,332,,,,,22,16,22,7,4,1,3,3,0,0,JAGIELLONIA BIAŁYSTOK,PGE FKS STAL MIELEC,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,ŚLĄSK WROCŁAW,LEGIA WARSZAWA,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,PIAST GLIWICE,KGHM ZAGŁĘBIE LUBIN,0,1
64,36,18,12,7,4,14,1,514,284,414,221,,,,,21,21,7,14,2,0,3,4,1,0,WISŁA KRAKÓW,LECHIA GDAŃSK,2,2
42,58,15,14,7,6,2,5,382,575,296,463,,,,,10,16,12,15,0,0,3,3,0,0,RAKÓW CZĘSTOCHOWA,LECH POZNAŃ,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,GÓRNIK ŁĘCZNA,WISŁA PŁOCK,3,2
55,45,20,10,5,5,8,2,416,368,325,304,,,,,15,18,18,15,2,0,3,1,0,0,RADOMIAK RADOM,POGOŃ SZCZECIN,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,PGE FKS STAL MIELEC,GÓRNIK ŁĘCZNA,2,0
,,,,,,,,,,,,,,,,,,,,,,,,,,WARTA POZNAŃ,JAGIELLONIA BIAŁYSTOK,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,BRUK-BET TERMALICA NIECIECZA,CRACOVIA,1,2
,,,,,,,,,,,,,,,,,,,,,,,,,,LECHIA GDAŃSK,RADOMIAK RADOM,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,LECH POZNAŃ,POGOŃ SZCZECIN,1,1
46,54,10,10,2,4,8,4,422,527,324,441,,,,,15,19,13,8,1,2,2,2,0,0,GÓRNIK ZABRZE,PIAST GLIWICE,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,,WISŁA PŁOCK,RAKÓW CZĘSTOCHOWA,1,1
55,45,16,9,5,5,7,3,526,416,431,337,,,,,22,20,15,10,2,0,2,0,0,0,KGHM ZAGŁĘBIE LUBIN,ŚLĄSK WROCŁAW,1,3
51,49,12,14,4,3,5,9,471,447,377,363,,,,,19,21,14,5,2,3,1,2,0,0,WISŁA KRAKÓW,LEGIA WARSZAWA,1,0
50,50,14,16,7,5,5,10,408,398,281,260,,,,,17,24,13,10,0,1,1,3,0,0,WISŁA PŁOCK,KGHM ZAGŁĘBIE LUBIN,4,0
48,52,12,8,4,1,7,7,374,370,275,283,,,,,21,14,14,20,1,3,0,2,0,0,RADOMIAK RADOM,WARTA POZNAŃ,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,POGOŃ SZCZECIN,PGE FKS STAL MIELEC,4,1
40,60,11,16,5,6,5,7,335,505,241,410,,,,,18,21,12,13,5,2,3,4,0,0,CRACOVIA,JAGIELLONIA BIAŁYSTOK,2,1
,,,,,,,,,,,,,,,,,,,,,,,,,,GÓRNIK ŁĘCZNA,WISŁA KRAKÓW,1,3
53,47,10,13,3,4,7,8,508,464,427,355,,,,,13,17,14,14,1,5,2,2,0,0,PIAST GLIWICE,ŚLĄSK WROCŁAW,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,LECH POZNAŃ,LECHIA GDAŃSK,2,0
,,,,,,,,,,,,,,,,,,,,,,,,,,RAKÓW CZĘSTOCHOWA,GÓRNIK ZABRZE,1,2
,,,,,,,,,,,,,,,,,,,,,,,,,,LEGIA WARSZAWA,BRUK-BET TERMALICA NIECIECZA,4,1
,,,,,,,,,,,,,,,,,,,,,,,,,,BRUK-BET TERMALICA NIECIECZA,LECH POZNAŃ,1,3
44,56,10,16,5,4,8,4,386,557,304,465,,,,,18,13,10,21,2,4,3,2,0,0,PGE FKS STAL MIELEC,WISŁA KRAKÓW,2,1
,,,,,,,,,,,,,,,,,,,,,,,,,,PIAST GLIWICE,WISŁA PŁOCK,4,3
,,,,,,,,,,,,,,,,,,,,,,,,,,LECHIA GDAŃSK,CRACOVIA,3,0
,,,,,,,,,,,,,,,,,,,,,,,,,,WARTA POZNAŃ,LEGIA WARSZAWA,0,2
,,,,,,,,,,,,,,,,,,,,,,,,,,ŚLĄSK WROCŁAW,GÓRNIK ŁĘCZNA,0,0
37,63,15,11,3,3,5,9,336,505,246,400,,,,,13,12,12,9,0,1,3,3,0,0,KGHM ZAGŁĘBIE LUBIN,POGOŃ SZCZECIN,2,0
52,48,7,9,2,3,2,7,594,515,513,424,,,,,14,20,14,9,1,3,2,1,0,0,JAGIELLONIA BIAŁYSTOK,GÓRNIK ZABRZE,1,3
58,42,18,14,6,3,5,6,462,335,376,259,,,,,13,20,12,13,0,0,2,3,0,0,RAKÓW CZĘSTOCHOWA,RADOMIAK RADOM,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,GÓRNIK ŁĘCZNA,WARTA POZNAŃ,0,4
,,,,,,,,,,,,,,,,,,,,,,,,,,LECH POZNAŃ,CRACOVIA,2,0
,,,,,,,,,,,,,,,,,,,,,,,,,,JAGIELLONIA BIAŁYSTOK,BRUK-BET TERMALICA NIECIECZA,1,0
54,46,12,8,5,0,3,3,508,404,407,328,,,,,6,5,14,14,5,4,0,3,0,0,GÓRNIK ZABRZE,PGE FKS STAL MIELEC,1,0
58,42,10,14,2,5,4,8,563,453,479,369,,,,,16,20,8,12,3,0,0,1,0,0,POGOŃ SZCZECIN,PIAST GLIWICE,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,WISŁA KRAKÓW,RAKÓW CZĘSTOCHOWA,1,2
,,,,,,,,,,,,,,,,,,,,,,,,,,ŚLĄSK WROCŁAW,LECHIA GDAŃSK,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,WISŁA PŁOCK,RADOMIAK RADOM,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,LEGIA WARSZAWA,KGHM ZAGŁĘBIE LUBIN,4,0
52,48,7,4,4,2,2,4,511,458,430,378,,,,,16,20,13,13,1,3,0,2,0,0,KGHM ZAGŁĘBIE LUBIN,GÓRNIK ŁĘCZNA,3,1
,,,,,,,,,,,,,,,,,,,,,,,,,,GÓRNIK ZABRZE,LECH POZNAŃ,1,3
,,,,,,,,,,,,,,,,,,,,,,,,,,PGE FKS STAL MIELEC,PIAST GLIWICE,0,2
49,51,14,13,6,4,3,4,467,505,381,419,,,,,20,13,13,12,2,2,2,1,0,0,BRUK-BET TERMALICA NIECIECZA,WISŁA KRAKÓW,2,2
43,57,25,8,8,2,6,6,318,482,251,397,,,,,18,22,18,18,0,2,4,3,1,2,RADOMIAK RADOM,LEGIA WARSZAWA,3,1
38,62,6,20,1,6,3,7,321,588,247,502,,,,,20,15,14,10,2,2,3,2,1,1,WARTA POZNAŃ,POGOŃ SZCZECIN,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,CRACOVIA,ŚLĄSK WROCŁAW,1,2
45,55,11,6,3,2,3,7,484,538,409,454,,,,,21,18,19,13,1,2,1,2,0,0,JAGIELLONIA BIAŁYSTOK,RAKÓW CZĘSTOCHOWA,3,0
,,,,,,,,,,,,,,,,,,,,,,,,,,LECHIA GDAŃSK,WISŁA PŁOCK,1,0
52,48,10,6,3,3,1,2,543,470,472,413,,,,,14,5,11,16,3,0,2,2,0,0,BRUK-BET TERMALICA NIECIECZA,PGE FKS STAL MIELEC,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,LECH POZNAŃ,RADOMIAK RADOM,0,0
48,52,11,18,2,7,7,7,379,460,313,384,,,,,14,16,13,10,0,1,3,3,0,0,GÓRNIK ŁĘCZNA,CRACOVIA,1,1
52,48,19,12,5,4,5,9,476,464,406,381,,,,,19,13,12,11,1,1,2,1,0,0,JAGIELLONIA BIAŁYSTOK,LECHIA GDAŃSK,1,1
55,45,9,16,2,4,0,6,498,455,411,364,,,,,23,22,10,20,2,2,2,2,0,0,LEGIA WARSZAWA,WISŁA PŁOCK,1,0
54,46,12,16,7,9,4,6,481,388,415,313,,,,,17,22,14,17,1,1,2,2,0,0,PIAST GLIWICE,RAKÓW CZĘSTOCHOWA,2,3
52,48,17,11,5,5,1,4,518,476,444,409,,,,,13,16,10,14,0,0,2,1,0,0,ŚLĄSK WROCŁAW,WARTA POZNAŃ,2,2
55,45,8,4,4,0,6,5,622,472,533,376,,,,,11,17,11,13,2,0,1,1,0,0,POGOŃ SZCZECIN,GÓRNIK ZABRZE,2,0
,,,,,,,,,,,,,,,,,,,,,,,,,,WISŁA KRAKÓW,KGHM ZAGŁĘBIE LUBIN,3,0
